ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,DS
1,Two Sum,45.60%,Easy,5.644982904, https://leetcode.com/problems/two-sum,
2,Add Two Numbers,33.90%,Medium,3.516113248, https://leetcode.com/problems/add-two-numbers,
683,K Empty Slots,35.60%,Hard,5.780765145, https://leetcode.com/problems/k-empty-slots,Sliding Window
4,Median of Two Sorted Arrays,29.60%,Hard,3.453368563, https://leetcode.com/problems/median-of-two-sorted-arrays,
5,Longest Palindromic Substring,29.50%,Medium,2.378625542, https://leetcode.com/problems/longest-palindromic-substring,
6,ZigZag Conversion,36.30%,Medium,0.40242844, https://leetcode.com/problems/zigzag-conversion,
7,Reverse Integer,25.80%,Easy,1.108160892, https://leetcode.com/problems/reverse-integer,
8,String to Integer (atoi),15.40%,Medium,1.354174812, https://leetcode.com/problems/string-to-integer-atoi,
9,Palindrome Number,48.40%,Easy,0.686009882, https://leetcode.com/problems/palindrome-number,
10,Regular Expression Matching,26.80%,Hard,3.074714751, https://leetcode.com/problems/regular-expression-matching,
11,Container With Most Water,50.80%,Medium,1.977087061, https://leetcode.com/problems/container-with-most-water,
12,Integer to Roman,55.10%,Medium,0.940669796, https://leetcode.com/problems/integer-to-roman,
13,Roman to Integer,55.70%,Easy,0.777263536, https://leetcode.com/problems/roman-to-integer,
14,Longest Common Prefix,35.40%,Easy,1.178123999, https://leetcode.com/problems/longest-common-prefix,
15,3Sum,26.80%,Medium,2.702273135, https://leetcode.com/problems/3sum,
16,3Sum Closest,46.00%,Medium,0.692674926, https://leetcode.com/problems/3sum-closest,
17,Letter Combinations of a Phone Number,46.80%,Medium,2.68025676, https://leetcode.com/problems/letter-combinations-of-a-phone-number,
18,4Sum,33.70%,Medium,0.687692171, https://leetcode.com/problems/4sum,
19,Remove Nth Node From End of List,35.20%,Medium,0.419184563, https://leetcode.com/problems/remove-nth-node-from-end-of-list,
20,Valid Parentheses,39.00%,Easy,2.455313347, https://leetcode.com/problems/valid-parentheses,
21,Merge Two Sorted Lists,53.50%,Easy,1.469371696, https://leetcode.com/problems/merge-two-sorted-lists,
22,Generate Parentheses,62.70%,Medium,1.775789087, https://leetcode.com/problems/generate-parentheses,
23,Merge k Sorted Lists,40.20%,Hard,3.039386344, https://leetcode.com/problems/merge-k-sorted-lists,
24,Swap Nodes in Pairs,50.40%,Medium,0.372203615, https://leetcode.com/problems/swap-nodes-in-pairs,
25,Reverse Nodes in k-Group,42.10%,Hard,0.857582415, https://leetcode.com/problems/reverse-nodes-in-k-group,
26,Remove Duplicates from Sorted Array,45.10%,Easy,0.468861564, https://leetcode.com/problems/remove-duplicates-from-sorted-array,
27,Remove Element,48.20%,Easy,0.182469826, https://leetcode.com/problems/remove-element,
28,Implement strStr(),34.50%,Easy,0.36158189, https://leetcode.com/problems/implement-strstr,
29,Divide Two Integers,16.40%,Medium,0.600094051, https://leetcode.com/problems/divide-two-integers,
904,Fruit Into Baskets,42.50%,Medium,5.622005351, https://leetcode.com/problems/fruit-into-baskets,Sliding Window
31,Next Permutation,32.60%,Medium,2.384562292, https://leetcode.com/problems/next-permutation,
32,Longest Valid Parentheses,28.40%,Hard,1.118250382, https://leetcode.com/problems/longest-valid-parentheses,
33,Search in Rotated Sorted Array,34.50%,Medium,1.982840493, https://leetcode.com/problems/search-in-rotated-sorted-array,
34,Find First and Last Position of Element in Sorted Array,36.20%,Medium,2.077190953, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,
35,Search Insert Position,42.60%,Easy,0.26089423, https://leetcode.com/problems/search-insert-position,
36,Valid Sudoku,48.70%,Medium,1.438063321, https://leetcode.com/problems/valid-sudoku,
37,Sudoku Solver,43.60%,Hard,1.792525107, https://leetcode.com/problems/sudoku-solver,
38,Count and Say,44.60%,Easy,2.088659098, https://leetcode.com/problems/count-and-say,
39,Combination Sum,56.10%,Medium,0.52686145, https://leetcode.com/problems/combination-sum,
40,Combination Sum II,48.20%,Medium,0.111453561, https://leetcode.com/problems/combination-sum-ii,
41,First Missing Positive,32.00%,Hard,1.828463009, https://leetcode.com/problems/first-missing-positive,
42,Trapping Rain Water,48.90%,Hard,3.921059878, https://leetcode.com/problems/trapping-rain-water,
43,Multiply Strings,33.90%,Medium,2.16633329, https://leetcode.com/problems/multiply-strings,
44,Wildcard Matching,24.70%,Hard,1.957959668, https://leetcode.com/problems/wildcard-matching,
45,Jump Game II,30.60%,Hard,0.770419036, https://leetcode.com/problems/jump-game-ii,
46,Permutations,63.50%,Medium,1.233643384, https://leetcode.com/problems/permutations,
48,Rotate Image,56.70%,Medium,1.5817267, https://leetcode.com/problems/rotate-image,
49,Group Anagrams,56.90%,Medium,1.539593934, https://leetcode.com/problems/group-anagrams,
50,Pow(x;n),30.30%,Medium,1.10706265, https://leetcode.com/problems/powx-n,
51,N-Queens,46.60%,Hard,0.529655488, https://leetcode.com/problems/n-queens,
53,Maximum Subarray,46.50%,Easy,1.89351767, https://leetcode.com/problems/maximum-subarray,
54,Spiral Matrix,34.10%,Medium,2.708006094, https://leetcode.com/problems/spiral-matrix,
55,Jump Game,34.60%,Medium,1.541307854, https://leetcode.com/problems/jump-game,
56,Merge Intervals,39.30%,Medium,3.85031783, https://leetcode.com/problems/merge-intervals,
57,Insert Interval,33.50%,Hard,2.97402258, https://leetcode.com/problems/insert-interval,
59,Spiral Matrix II,53.90%,Medium,0.514321297, https://leetcode.com/problems/spiral-matrix-ii,
60,Permutation Sequence,38.40%,Hard,0.556508587, https://leetcode.com/problems/permutation-sequence,
62,Unique Paths,54.10%,Medium,1.560701012, https://leetcode.com/problems/unique-paths,
63,Unique Paths II,34.60%,Medium,1.302896106, https://leetcode.com/problems/unique-paths-ii,
64,Minimum Path Sum,54.50%,Medium,1.311169372, https://leetcode.com/problems/minimum-path-sum,
65,Valid Number,15.30%,Hard,1.334392424, https://leetcode.com/problems/valid-number,
66,Plus One,43.00%,Easy,3.693305196, https://leetcode.com/problems/plus-one,
67,Add Binary,45.20%,Easy,0.139868612, https://leetcode.com/problems/add-binary,
68,Text Justification,27.70%,Hard,3.450799221, https://leetcode.com/problems/text-justification,
69,Sqrt(x),33.90%,Easy,1.21326454, https://leetcode.com/problems/sqrtx,
70,Climbing Stairs,47.80%,Easy,0.72276424, https://leetcode.com/problems/climbing-stairs,
72,Edit Distance,44.80%,Hard,2.308682749, https://leetcode.com/problems/edit-distance,
74,Search a 2D Matrix,36.50%,Medium,0.291078457, https://leetcode.com/problems/search-a-2d-matrix,
75,Sort Colors,47.30%,Medium,0.683592167, https://leetcode.com/problems/sort-colors,
159,Longest Substring with At Most Two Distinct Characters,49.40%,Medium,4.262457726, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,Sliding Window
77,Combinations,54.70%,Medium,0.481735925, https://leetcode.com/problems/combinations,
78,Subsets,62.00%,Medium,0.605001631, https://leetcode.com/problems/subsets,
79,Word Search,35.60%,Medium,0.835614701, https://leetcode.com/problems/word-search,
80,Remove Duplicates from Sorted Array II,44.00%,Medium,0.126040721, https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,
81,Search in Rotated Sorted Array II,33.00%,Medium,0.561042501, https://leetcode.com/problems/search-in-rotated-sorted-array-ii,
82,Remove Duplicates from Sorted List II,36.80%,Medium,0.282446458, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,
83,Remove Duplicates from Sorted List,45.40%,Easy,0.176301775, https://leetcode.com/problems/remove-duplicates-from-sorted-list,
84,Largest Rectangle in Histogram,35.20%,Hard,1.583056977, https://leetcode.com/problems/largest-rectangle-in-histogram,
85,Maximal Rectangle,37.70%,Hard,2.964026874, https://leetcode.com/problems/maximal-rectangle,
87,Scramble String,33.70%,Hard,0.240385358, https://leetcode.com/problems/scramble-string,
88,Merge Sorted Array,39.40%,Easy,0.310998708, https://leetcode.com/problems/merge-sorted-array,
91,Decode Ways,24.70%,Medium,2.043561546, https://leetcode.com/problems/decode-ways,
92,Reverse Linked List II,38.80%,Medium,0.120806645, https://leetcode.com/problems/reverse-linked-list-ii,
94,Binary Tree Inorder Traversal,63.30%,Medium,0.880608701, https://leetcode.com/problems/binary-tree-inorder-traversal,
96,Unique Binary Search Trees,52.90%,Medium,1.172709207, https://leetcode.com/problems/unique-binary-search-trees,
97,Interleaving String,31.50%,Hard,1.187919087, https://leetcode.com/problems/interleaving-string,
98,Validate Binary Search Tree,27.80%,Medium,1.147140364, https://leetcode.com/problems/validate-binary-search-tree,
99,Recover Binary Search Tree,39.70%,Hard,0.839418524, https://leetcode.com/problems/recover-binary-search-tree,
100,Same Tree,53.40%,Easy,0.184731557, https://leetcode.com/problems/same-tree,
101,Symmetric Tree,46.80%,Easy,0.686086062, https://leetcode.com/problems/symmetric-tree,
